routes,path_len,providers_per_rule,prefix_rules_per_origin,origin_diversity_pct,generated_prefix_rules,active_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
1000000,4,10,6,2,120000,120000,20000,hybrid-hit,1046424.4,15358.15,228062975.7,1066844.71,228062.4,1066.84,1000000.0,0.0,227.6,1.13,2038291.6,59.25,4426815.1,118990.75,1240292.2,77316.48,512890.3,0.68,0.0,0.0,0.0,0.0,34.1,18.09,39.90,16.08,39.90,40.06,8.02,14.69,9.16
1000000,4,10,6,2,120000,120000,20000,hybrid-miss,1023164.9,14029.43,215202456.7,936491.57,215202.0,936.51,1000000.0,0.0,214.6,1.02,2038308.0,42.99,4373952.6,44391.76,1206000.5,47523.32,512890.1,0.71,0.0,0.0,0.0,0.0,26.8,13.28,32.01,13.50,32.01,32.06,8.02,13.32,6.15
1000000,4,10,6,2,120000,120000,20000,original-global,901464.4,16798.16,163021035.7,680350.88,163020.5,680.29,1000000.0,0.0,162.5,0.7,1886977.6,75.06,3859723.8,63180.45,1136179.9,42557.86,474389.5,0.91,0.0,0.0,0.0,0.0,15.0,13.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,6,2,120000,120000,20000,linear-global,914718.6,13904.22,161882158.4,633303.1,161881.6,633.31,1000000.0,0.0,161.4,0.5,1895796.4,86.97,3959222.4,54899.06,1124561.4,24607.01,476595.6,1.13,0.0,0.0,0.0,0.0,58.8,20.23,-0.70,1.47,-0.70,-0.68,0.47,2.58,-1.02
1000000,4,10,6,2,120000,120000,20000,linear-hit,989780.1,10401.11,225251598.2,717009.85,225251.2,717.02,1000000.0,0.0,224.6,0.77,2016045.6,78.0,4374697.7,27608.98,1186917.1,35731.19,507327.2,0.74,0.0,0.0,0.0,0.0,55.7,14.14,38.17,9.80,38.17,38.22,6.84,13.34,4.47
1000000,4,10,6,2,120000,120000,20000,linear-miss,1006869.6,27379.31,215023561.5,1472930.3,215023.0,1472.93,1000000.0,0.0,214.5,1.55,2016039.6,74.65,4439696.2,49202.47,1161268.9,41422.56,507327.4,0.77,0.0,0.0,0.0,0.0,61.5,13.88,31.90,11.69,31.90,32.00,6.84,15.03,2.21
1000000,4,10,6,2,120000,120000,20000,trie-global,966829.3,20434.73,174244476.3,1857630.25,174243.9,1857.66,1000000.0,0.0,173.8,1.81,1916167.6,59.95,4012989.7,64342.62,1133336.7,39339.13,481685.3,1.01,0.0,0.0,0.0,0.0,21.2,14.01,6.88,7.25,6.88,6.95,1.55,3.97,-0.25
1000000,4,10,6,2,120000,120000,20000,trie-hit,1253816.3,29544.23,403712629.5,9236610.06,403712.0,9236.49,1000000.0,0.0,403.3,9.23,2204191.6,62.12,4556285.9,78011.65,1341076.5,63613.25,554373.5,0.77,0.0,0.0,0.1,0.23,30.0,22.84,147.64,39.09,147.64,148.18,16.81,18.05,18.03
1000000,4,10,6,2,120000,120000,20000,trie-miss,1205857.6,32329.41,357144687.8,16528971.93,357144.2,16528.82,1000000.0,0.0,356.6,16.47,2204181.2,71.26,4486532.6,76272.93,1382317.6,94629.97,554373.2,0.88,0.0,0.0,0.0,0.0,30.4,16.66,119.08,33.77,119.08,119.45,16.81,16.24,21.66
1000000,4,10,8,1,80000,80000,10000,hybrid-global,948312.4,15954.85,147553818.8,1092131.36,147553.3,1092.03,1000000.0,0.0,146.9,1.19,1888502.0,66.05,3884815.0,46675.34,1139510.3,37474.39,474666.2,1.0,0.0,0.0,0.0,0.0,57.5,21.98,-3.99,5.80,-3.99,-4.11,1.15,1.66,-0.53
1000000,4,10,8,1,80000,80000,10000,hybrid-hit,1012642.6,14928.59,223129787.5,1052793.47,223129.2,1052.74,1000000.0,0.0,222.6,1.08,1963781.6,53.34,4167256.8,49074.33,1180647.9,46243.75,493910.8,0.88,0.0,0.0,0.0,0.0,48.5,16.99,45.19,12.97,45.19,45.30,5.18,9.05,3.06
1000000,4,10,8,1,80000,80000,10000,hybrid-miss,1007557.1,20474.89,210927136.1,1153100.49,210926.6,1153.06,1000000.0,0.0,210.5,1.27,1963750.0,47.31,4165776.8,37701.65,1185363.3,23592.93,493910.4,0.77,0.0,0.0,0.0,0.0,55.9,14.92,37.25,12.41,37.25,37.40,5.18,9.02,3.48
1000000,4,10,8,1,80000,80000,10000,original-global,896356.1,26848.51,153680796.8,1021437.81,153680.4,1021.43,1000000.0,0.0,153.2,1.11,1867092.8,77.62,3821277.6,37833.52,1145544.3,104446.37,469332.4,0.84,0.0,0.0,0.0,0.0,45.0,17.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,8,1,80000,80000,10000,linear-global,873365.7,13025.92,150899306.3,852755.87,150898.7,852.88,1000000.0,0.0,150.5,0.84,1871520.8,71.74,3829169.0,26878.7,1093144.4,40851.7,470433.6,1.08,0.0,0.0,0.0,0.0,48.4,9.96,-1.81,-2.56,-1.81,-1.76,0.24,0.21,-4.57
1000000,4,10,8,1,80000,80000,10000,linear-hit,969807.0,17937.54,222198694.0,1110858.69,222198.2,1110.94,1000000.0,0.0,221.7,1.12,1946611.2,66.4,4184480.0,114964.73,1164299.6,68577.11,489629.5,0.91,0.0,0.0,0.0,0.0,48.4,15.36,44.58,8.19,44.58,44.71,4.26,9.50,1.64
1000000,4,10,8,1,80000,80000,10000,linear-miss,960774.1,14434.27,211334061.8,2069801.4,211333.5,2069.78,1000000.0,0.0,210.7,2.05,1946634.4,59.23,4160868.8,71144.42,1125408.6,49714.6,489630.4,1.02,0.0,0.0,0.0,0.0,33.0,13.09,37.51,7.19,37.51,37.53,4.26,8.89,-1.76
1000000,4,10,8,1,80000,80000,10000,trie-global,942662.1,16932.92,160779800.6,1890590.56,160779.2,1890.6,1000000.0,0.0,160.2,1.84,1888050.0,76.06,3948765.0,98952.85,1140642.1,54106.38,474582.0,1.01,0.0,0.0,0.0,0.0,34.7,4.69,4.62,5.17,4.62,4.57,1.12,3.34,-0.43
1000000,4,10,8,1,80000,80000,10000,trie-hit,1105790.2,15211.85,310076725.6,3243645.36,310076.3,3243.68,1000000.0,0.0,309.7,3.3,2046745.6,54.39,4226548.6,37501.59,1250724.8,32844.5,514643.6,0.5,0.0,0.0,0.0,0.0,49.2,18.82,101.77,23.37,101.77,102.15,9.62,10.61,9.18
